V1	249.374797
V2	1402.185065
V3	122.7760553
V5	304.2009129
V6	47.16404761
V7	169.9987239
V8	0
V9	87.33029877
V10	0
V13	1580.354098
V23	10.09126055
V16	10.04963219
V112	50.23510928
V113	110.5936341
V121	23.02766342
V122	28.36522879
V123	208.4888462
V124	30.42616687
V131	13.86877939
V51	8.916552043
V52	3.098405023
V55	22.25594117
V56	1.564310062
V57	16.03586929
V58	1.44068102
V59	1.201728967
Jmax	180
K1	1000000
K2	500
K3	50000000
K4	50000000
K5	50000000
K6	50000000
K7	10000
K8	1000
K9	8300000
K10	800000000
Vmax11	6
Kau	10000000000
Kua	10000000000
Kf	6300000
Kd 	200000000
K15	10000000000
K16	100000
V2M 	27.8
kA_d	200000000
kA_f	1260000
kA_U	10000000000
kU_A	10000000000
kU_d	200000000
kU_f	1260000
k1	2.50E+11
k_r1	300000000
kz	5000000
k12	30000
k23	10000
k30	3000
k01	500
k2	2000000000
kAB1	2500
kBA1	200
kAB2	3300
kBA2	250
k3	800
k_r3	80
k_pq_oxy	500

